"date","TA","Pr","WS","WD","QV"
2014-01-01 01:00:00,262.55,102860,1.5,230,0.000486434961054556
2014-01-01 02:00:00,262.55,102960,1.5,280,0.000485962515028188
2014-01-01 03:00:00,263.15,102910,2.6,340,0.000517223353090537
2014-01-01 04:00:00,263.15,102850,4.1,20,0.000517525084527507
2014-01-01 05:00:00,263.15,102810,4.6,10,0.000517726434473131
2014-01-01 06:00:00,263.15,102730,3.1,360,0.000543800899329043
2014-01-01 07:00:00,264.25,102720,2.6,10,0.000664657130928203
2014-01-01 08:00:00,264.85,102690,3.1,340,0.000735284315825907
2014-01-01 09:00:00,265.35,102640,3.1,340,0.000811399564468891
2014-01-01 10:00:00,265.95,102580,2.6,340,0.000904108584523567
2014-01-01 11:00:00,268.15,102570,4.6,50,0.00133534173436033
2014-01-01 12:00:00,267.55,102580,3.6,100,0.00125834772187813
2014-01-01 13:00:00,267.55,102590,5.7,80,0.00120126545871778
2014-01-01 14:00:00,267.55,102590,6.7,80,0.00110277196096396
2014-01-01 15:00:00,267.55,102640,6.2,70,0.00110223476943979
2014-01-01 16:00:00,267.15,102640,6.7,60,-0.0011663755831601
2014-01-01 17:00:00,267.55,102630,6.7,60,0.00120079727670271
2014-01-01 18:00:00,267.55,102550,7.2,70,0.00120173400595668
2014-01-01 19:00:00,267.55,102490,6.7,60,0.00120243751254514
2014-01-01 20:00:00,267.55,102440,8.2,60,0.00120302439754183
2014-01-01 21:00:00,267.55,102400,6.2,60,0.00126055961056809
2014-01-01 22:00:00,268.15,102430,6.2,70,0.0013371668157738
2014-01-01 23:00:00,267.55,102400,6.7,70,0.00126055961056809
2014-01-02,267.55,102390,6.2,60,0.00120361185571126
2014-01-02 01:00:00,267.55,102410,6.2,70,0.00115759581882493
2014-01-02 02:00:00,267.05,102400,6.2,60,0.00110164622326368
2014-01-02 03:00:00,267.05,102390,6.2,70,0.0011017538141521
2014-01-02 04:00:00,267.05,102340,5.7,60,0.00110229208398002
2014-01-02 05:00:00,267.05,102320,7.2,50,0.00110250753920633
2014-01-02 06:00:00,267.05,102250,8.8,50,0.00105285893838878
2014-01-02 07:00:00,267.05,102200,6.7,60,0.00105337402488793
2014-01-02 08:00:00,267.05,102180,7.2,60,0.00105358020063183
2014-01-02 09:00:00,267.05,102160,6.7,50,0.00105378645710064
2014-01-02 10:00:00,267.15,102160,6.2,50,-0.0011663755831601
2014-01-02 11:00:00,267.55,102060,5.1,40,0.00120750351536557
2014-01-02 12:00:00,267.55,102120,6.2,40,0.00120679407013559
